learning_ease_score,instructiveness_score,cognitive_load_score,example_quality_score,scaffolding_score,bloom_taxonomy_level,explanation_quality,code_id
6,7,3,6,8,Analyze (Analiz) - Seviye 4,6,858
6,6,3,7,7,Apply (Uygulama) - Seviye 3,8,859
6,4,7,6,8,Apply (Uygulama) - Seviye 3,6,860
7,10,2,7,6,Apply (Uygulama) - Seviye 3,8,861
6,5,3,8,8,Apply (Uygulama) - Seviye 3,8,862
5,3,4,7,7,Apply (Uygulama) - Seviye 3,8,863
7,10,4,8,7,Apply (Uygulama) - Seviye 3,8,864
7,6,5,9,8,Apply (Uygulama) - Seviye 3,7,865
7,3,5,8,7,Apply (Uygulama) - Seviye 3,8,866
6,6,5,8,8,Apply (Uygulama) - Seviye 3,7,867
4,7,3,7,6,Apply (Uygulama) - Seviye 3,7,868
8,7,1,6,8,Apply (Uygulama) - Seviye 3,7,869
2,6,3,9,8,Apply (Uygulama) - Seviye 3,7,870
4,8,5,6,6,Evaluate (Değerlendirme) - Seviye 5,7,871
5,8,3,7,7,Evaluate (Değerlendirme) - Seviye 5,9,872
7,6,4,9,7,Evaluate (Değerlendirme) - Seviye 5,8,873
7,7,8,7,8,Evaluate (Değerlendirme) - Seviye 5,8,874
8,10,6,7,6,Evaluate (Değerlendirme) - Seviye 5,7,875
4,10,4,7,7,Evaluate (Değerlendirme) - Seviye 5,6,876
8,7,1,9,8,Understand (Anlama) - Seviye 2,7,877
8,5,4,8,8,Understand (Anlama) - Seviye 2,7,878
8,9,5,8,9,Understand (Anlama) - Seviye 2,9,879
6,6,3,8,7,Understand (Anlama) - Seviye 2,7,880
7,4,4,7,8,Understand (Anlama) - Seviye 2,8,881
7,9,3,6,8,Understand (Anlama) - Seviye 2,6,882
6,5,4,9,7,Understand (Anlama) - Seviye 2,8,883
6,7,4,6,6,Understand (Anlama) - Seviye 2,8,884
8,8,4,6,7,Understand (Anlama) - Seviye 2,6,885
7,8,7,8,8,Understand (Anlama) - Seviye 2,8,886
2,6,3,8,8,Understand (Anlama) - Seviye 2,7,887
4,5,4,7,7,Understand (Anlama) - Seviye 2,9,888
7,5,5,5,6,Create (Yaratma) - Seviye 6,5,889
8,10,2,8,7,Create (Yaratma) - Seviye 6,6,890
6,2,6,7,7,Create (Yaratma) - Seviye 6,6,891
9,9,5,7,6,Create (Yaratma) - Seviye 6,7,892
9,5,2,8,7,Create (Yaratma) - Seviye 6,8,893
5,7,2,7,6,Create (Yaratma) - Seviye 6,7,894
8,4,6,9,8,Understand (Anlama) - Seviye 2,9,895
10,4,4,6,7,Understand (Anlama) - Seviye 2,7,896
6,5,3,7,6,Understand (Anlama) - Seviye 2,6,897
4,9,3,6,6,Understand (Anlama) - Seviye 2,8,898
4,7,2,8,7,Understand (Anlama) - Seviye 2,7,899
5,7,5,6,6,Understand (Anlama) - Seviye 2,6,900
